src,tar,t,label
6491,6499,0,0
6490,6502,0,1
6339,6336,0,0
6338,6344,0,0
6162,6160,0,0
6171,6162,0,0
6009,6008,0,0
5871,5866,0,0
5866,5870,0,0
5711,5717,0,0
5559,5570,0,0
5559,5557,0,0
5262,5259,0,0
5107,5106,0,0
4623,4621,0,0
4560,4558,0,0
4410,4419,0,0
4411,4419,0,0
4259,4263,0,0
4259,4258,0,0
4110,4118,0,0
3962,3967,0,0
3961,3967,0,0
3801,3810,0,0
3802,3806,0,0
3653,3658,0,0
3654,3652,0,0
3470,3474,0,0
3473,3468,0,0
3318,3321,0,0
3318,3323,0,0
3166,3165,0,0
3167,3165,0,0
2987,2992,0,0
2836,2834,0,0
2687,2681,0,0
2521,2525,0,0
2521,2526,0,0
2369,2374,0,0
2056,2064,0,0
2056,2064,0,0
1901,1905,0,0
1901,1910,0,0
1728,1737,0,0
1569,1577,0,0
1415,1413,0,0
1272,1277,0,0
1071,1066,0,0
890,884,0,0
885,892,0,0
732,736,0,0
731,737,0,0
709,706,0,0
685,691,0,0
536,539,0,0
536,539,0,0
6162,6160,0,0
5866,5870,0,0
4951,4953,0,0
4419,4410,0,0
3961,3959,0,0
3801,3810,0,0
3654,3658,0,0
3628,3626,0,0
3318,3322,0,0
2986,2992,0,0
2837,2834,0,0
2521,2525,0,0
1902,1900,0,0
1568,1577,0,0
1270,1273,0,0
1068,1072,0,0
5559,5570,0,0
4953,4961,0,0
3802,3810,0,0
3167,3172,0,0
2986,2992,0,0
2837,2834,0,0
1901,1899,0,0
1071,1075,0,0
885,883,0,0
3802,3810,0,0
3167,3164,0,0
1910,1901,0,0
1272,1277,0,0
884,883,0,0
3802,3810,0,0
1902,1910,0,0
1272,1277,0,0
3166,3172,0,0
3654,3657,0,0
3166,3172,0,0
3166,3164,0,0
6339,6349,1,1
5410,5414,1,0
5108,5115,1,0
4782,4777,1,0
4260,4263,1,0
4110,4114,1,0
2679,2681,1,0
2210,2208,1,0
2056,2054,1,0
731,735,1,0
6491,6502,1,0
6161,6171,1,0
4419,4411,1,0
4110,4118,1,0
2687,2681,1,0
2216,2209,1,0
1729,1737,1,0
6491,6499,1,0
5566,5570,1,0
4621,4623,1,0
2986,2992,1,0
2681,2679,1,0
2210,2208,1,0
1066,1071,1,0
5866,5871,1,0
4954,4958,1,0
4109,4118,1,0
3962,3959,1,0
2841,2836,1,0
2682,2687,1,0
884,890,1,0
4110,4114,1,0
3801,3810,1,0
4561,4559,1,0
1902,1907,1,0
1273,1270,1,0
3167,3172,1,0
1272,1270,1,0
1273,1276,1,0
1273,1271,1,0
6338,6336,1,0
5414,5409,1,0
5262,5265,1,0
4778,4775,1,0
4259,4257,1,0
3474,3479,1,0
2369,2364,1,0
732,730,1,0
6339,6343,1,0
6171,6161,1,0
5262,5258,1,0
4411,4419,1,0
1579,1572,1,0
731,735,1,0
536,539,1,0
6494,6491,1,0
6171,6162,1,0
5566,5570,1,0
5262,5259,1,0
4622,4630,1,0
2986,2992,1,0
2520,2534,1,1
2369,2374,1,0
2209,2216,1,0
1071,1077,1,0
732,735,1,0
6162,6165,1,0
5865,5870,1,0
5262,5257,1,0
4953,4959,1,0
3967,3961,1,0
2837,2841,1,0
2369,2366,1,0
884,890,1,0
732,729,1,0
6171,6162,1,0
5262,5259,1,0
4954,4950,1,0
4110,4114,1,0
2369,2364,1,0
3317,3322,1,0
2370,2366,1,0
1902,1899,1,0
1270,1272,1,0
5409,5414,2,0
5107,5112,2,0
4777,4783,2,0
3473,3479,2,0
4411,4409,2,0
2056,2064,2,0
1569,1577,2,0
535,546,2,0
6491,6502,2,0
5559,5570,2,0
4623,4626,2,0
2986,2992,2,0
2216,2210,2,0
1728,1726,2,0
1072,1077,2,0
6009,6017,2,0
2986,2992,2,0
2837,2852,2,1
2064,2056,2,0
5266,5262,2,0
3802,3810,2,0
2992,2986,2,0
2056,2064,2,0
731,736,2,0
3318,3316,2,0
2055,2053,2,0
885,888,2,0
890,884,2,0
3654,3659,2,0
1902,1900,2,0
3167,3165,2,0
5410,5414,2,0
5107,5112,2,0
3473,3481,2,0
5720,5716,2,0
4410,4419,2,0
4260,4258,2,0
3474,3482,2,0
1568,1572,2,0
546,536,2,0
6339,6335,2,0
5720,5716,2,0
5560,5570,2,0
4260,4263,2,0
539,536,2,0
6499,6490,2,0
6010,6015,2,0
4622,4629,2,0
3961,3966,2,0
2836,2840,2,0
1072,1066,2,0
5866,5871,2,0
4623,4621,2,0
2987,2992,2,0
737,732,2,0
4953,4961,2,0
4623,4619,2,0
4109,4118,2,0
3801,3807,2,0
3323,3318,2,0
2064,2056,2,0
1072,1077,2,0
4110,4113,2,0
1071,1068,2,0
884,890,2,0
4627,4623,2,0
1907,1902,2,0
3172,3167,2,0
5410,5414,3,0
5112,5108,3,0
4777,4782,3,0
4410,4419,3,0
5716,5712,3,0
3474,3479,3,0
4260,4257,3,0
3962,3966,3,0
2837,2852,3,0
1728,1727,3,0
539,535,3,0
5261,5266,3,0
2987,2992,3,0
1737,1729,3,0
3961,3959,3,0
3317,3322,3,0
2681,2686,3,0
732,729,3,0
6161,6165,3,0
4953,4961,3,0
3962,3967,3,0
3802,3810,3,0
890,885,3,0
731,736,3,0
4110,4118,3,0
3957,3962,3,0
2520,2525,3,0
2370,2364,3,0
1902,1899,3,0
732,736,3,0
3967,3961,3,0
3667,3657,3,0
3962,3965,3,0
3167,3175,3,0
1272,1306,3,0
5410,5408,3,0
5107,5115,3,0
4775,4777,3,0
5107,5105,3,0
4410,4416,3,0
1568,1577,3,0
6338,6336,3,0
5559,5570,3,0
5112,5108,3,0
3473,3479,3,0
2208,2209,3,0
6490,6496,3,0
6009,6007,3,0
5559,5558,3,0
1415,1413,3,0
6010,6007,3,0
5259,5261,3,0
4259,4263,3,0
535,539,3,0
4259,4263,3,0
2055,2064,3,0
1729,1737,3,0
536,539,3,0
3802,3810,3,0
2687,2682,3,0
885,892,3,0
4954,4959,3,0
4260,4264,3,0
2682,2687,3,0
732,737,3,0
6183,6167,3,0
4263,4259,3,0
4118,4110,3,0
1901,1899,3,0
6162,6160,3,0
4110,4118,3,0
3959,3961,3,0
3166,3165,3,0
1901,1910,3,0
4109,4118,3,0
1901,1899,3,0
1272,1303,3,0
1273,1270,3,0
5409,5414,4,0
4777,4785,4,0
5409,5414,4,0
4411,4419,4,0
6338,6336,4,0
5410,5414,4,0
4416,4410,4,0
3474,3470,4,0
2216,2209,4,0
1569,1572,4,0
6339,6343,4,0
5712,5716,4,0
5409,5414,4,0
5108,5112,4,0
4410,4419,4,0
2209,2207,4,0
1568,1577,4,0
6335,6338,4,0
5570,5559,4,0
5409,5414,4,0
5257,5262,4,0
4410,4419,4,0
2209,2216,4,0
5720,5734,4,1
4419,4410,4,0
3323,3317,4,0
2986,2984,4,0
2210,2216,4,0
1729,1734,4,0
1415,1420,4,0
535,539,4,0
5711,5716,4,0
1737,1729,4,0
884,890,4,0
5712,5716,4,0
4953,4949,4,0
4622,4627,4,0
4419,4410,4,0
2987,2990,4,0
2521,2534,4,0
2223,2216,4,0
1737,1729,4,0
3654,3659,4,0
731,735,4,0
6171,6162,4,0
4263,4260,4,0
3961,3967,4,0
2369,2375,4,0
4259,4294,4,0
4110,4112,4,0
3961,3992,4,0
3166,3169,4,0
1903,1901,4,0
4110,4143,4,0
3168,3166,4,0
1901,1904,4,0
1272,1275,4,0
1272,1300,4,0
4777,4784,4,0
4778,4782,4,0
6489,6490,4,0
5108,5114,4,0
3474,3479,4,0
6490,6502,4,0
6339,6343,4,0
5566,5557,4,0
3474,3470,4,0
6490,6499,4,0
6009,6008,4,0
5878,5869,4,0
2837,2841,4,0
2056,2054,4,0
1568,1572,4,0
1415,1421,4,0
535,539,4,0
3801,3799,4,0
884,890,4,0
5734,5720,4,0
4410,4415,4,0
2986,2990,4,0
3667,3682,4,0
2209,2212,4,0
3653,3658,4,0
2369,2372,4,0
2211,2209,4,0
1072,1106,4,0
732,737,4,0
4259,4262,4,0
3963,3961,4,0
2681,2717,4,0
2369,2404,4,0
1072,1100,4,0
731,734,4,0
4259,4291,4,0
4110,4140,4,0
3961,3964,4,0
3166,3201,4,0
2683,2681,4,0
1901,1935,4,0
4110,4146,4,0
3166,3204,4,0
1901,1938,4,0
1274,1272,4,0
5108,5111,5,0
6339,6344,5,0
5560,5557,5,0
5262,5266,5,0
5108,5105,5,0
3474,3472,5,0
6491,6502,5,0
6343,6339,5,0
6016,6010,5,0
5866,5863,5,0
5570,5559,5,0
5108,5111,5,0
2055,2064,5,0
1416,1421,5,0
539,535,5,0
6339,6336,5,0
5409,5407,5,0
5105,5108,5,0
3802,3805,5,0
3317,3323,5,0
884,882,5,0
546,536,5,0
